Mean,Standard_Deviation,Variance,Port
-0.78898,5.608,31.449,Port 1
-0.79523,5.6133,31.509,Port 1
-0.78511,5.5923,31.273,Port 1
-0.82855,5.7913,33.54,Port 2
-0.82303,5.7898,33.521,Port 2
-0.84226,5.8026,33.67,Port 2
-0.83888,5.808,33.733,Port 2
-0.84667,5.8129,33.79,Port 2
-0.84222,5.7981,33.618,Port 2
-0.83809,5.7984,33.622,Port 2
-0.83836,5.79,33.525,Port 2
-0.84238,5.8088,33.742,Port 2
-0.83484,5.7979,33.615,Port 2
-0.83772,5.808,33.733,Port 2
-0.84687,5.8161,33.827,Port 2
-0.84748,5.8032,33.677,Port 2
-0.82464,5.8061,33.71,Port 2
-0.82137,5.7901,33.525,Port 2
-0.82033,5.7791,33.398,Port 2
-0.8474,5.8028,33.672,Port 2
-0.83113,5.7895,33.518,Port 2
-0.83167,5.7908,33.534,Port 2
-0.83945,5.807,33.721,Port 2
-0.83116,5.8083,33.737,Port 2
-0.83583,5.8131,33.792,Port 2
-0.8399,5.7992,33.63,Port 2
-0.81896,5.7818,33.429,Port 2
-0.83037,5.7805,33.414,Port 2
-0.82409,5.8089,33.743,Port 2
-0.83083,5.8145,33.808,Port 2
-0.83507,5.8094,33.75,Port 2
-0.82821,5.7899,33.523,Port 2
-0.83149,5.8044,33.691,Port 2
-0.83559,5.8031,33.676,Port 2
-0.84468,5.7983,33.62,Port 2
-0.83833,5.7977,33.614,Port 2
-0.83162,5.8112,33.77,Port 2
-0.83502,5.7883,33.505,Port 2
-0.83425,5.7896,33.52,Port 2
-0.83379,5.8028,33.673,Port 2
-0.83023,5.7893,33.516,Port 2
-0.82501,5.7914,33.541,Port 2
-0.84282,5.8075,33.727,Port 2
-0.84556,5.8051,33.699,Port 2
-0.84987,5.7822,33.433,Port 2
-0.83005,5.7871,33.491,Port 2
-0.83429,5.7916,33.542,Port 2
-0.84392,5.8043,33.689,Port 2
-0.83703,5.8095,33.75,Port 2
-0.84276,5.816,33.825,Port 2
-0.83937,5.7983,33.62,Port 2
-0.84038,5.813,33.791,Port 2
-0.83073,5.7896,33.519,Port 2
-0.85148,5.8164,33.831,Port 2
-0.8369,5.797,33.605,Port 2
-0.82637,5.7915,33.541,Port 2
-0.83236,5.8084,33.737,Port 2
-0.83243,5.79,33.525,Port 2
-0.8382,5.8153,33.818,Port 2
-0.82519,5.7905,33.53,Port 2
-0.82768,5.7887,33.509,Port 2
-0.82985,5.7978,33.615,Port 2
-0.83749,5.8132,33.793,Port 2
-0.84101,5.7942,33.573,Port 2
-0.84654,5.7848,33.464,Port 2
-0.82895,5.7857,33.475,Port 2
-0.82938,5.8181,33.851,Port 2
-0.83975,5.7877,33.497,Port 2
-0.83217,5.7896,33.52,Port 2
-0.85194,5.817,33.838,Port 2
-0.83286,5.7922,33.55,Port 2
-0.83348,5.784,33.455,Port 2
-0.81864,5.793,33.559,Port 2
-0.82411,5.7832,33.446,Port 2
-0.8293,5.79,33.524,Port 2
-0.84262,5.8212,33.886,Port 2
-0.82006,5.789,33.512,Port 2
-0.82606,5.7884,33.505,Port 2
-0.83236,5.7938,33.568,Port 2
-0.83366,5.7787,33.393,Port 2
-0.83687,5.7976,33.612,Port 2
-0.8328,5.7944,33.575,Port 2
-0.8207,5.7794,33.402,Port 2
-0.84256,5.7931,33.56,Port 2
-0.8186,5.8001,33.642,Port 2
-0.83741,5.8078,33.73,Port 2
-0.82543,5.7901,33.525,Port 2
-0.84701,5.8139,33.801,Port 2
-0.82846,5.7978,33.614,Port 2
-0.83359,5.8144,33.807,Port 2
-0.83185,5.8169,33.837,Port 2
-0.83619,5.8036,33.682,Port 2
-0.8319,5.7842,33.457,Port 2
-0.8293,5.7925,33.553,Port 2
-0.83906,5.7899,33.523,Port 2
-0.82587,5.7894,33.517,Port 2
-0.82126,5.7884,33.505,Port 2
-0.83435,5.8091,33.745,Port 2
-0.83453,5.82,33.872,Port 2
-0.82308,5.7815,33.426,Port 2
-0.82566,5.7882,33.503,Port 2
-0.82558,5.7787,33.394,Port 2
-0.83698,5.7951,33.583,Port 2
-0.82585,5.8145,33.808,Port 2
-0.84291,5.8135,33.796,Port 2
-0.8224,5.7884,33.506,Port 2
-0.82588,5.8035,33.68,Port 2
-0.83272,5.8071,33.722,Port 2
-0.84731,5.8211,33.886,Port 2
-0.83564,5.8089,33.744,Port 2
-0.83228,5.811,33.768,Port 2
-0.8402,5.782,33.432,Port 2
-0.84156,5.8085,33.739,Port 2
-0.83835,5.8007,33.648,Port 2
-0.81916,5.7869,33.488,Port 2
-0.83596,5.8008,33.649,Port 2
-0.8295,5.7834,33.448,Port 2
-0.83253,5.7849,33.465,Port 2
-0.82438,5.7826,33.439,Port 2
-0.83505,5.7946,33.577,Port 2
-0.82481,5.79,33.524,Port 2
-0.83289,5.783,33.443,Port 2
-0.82867,5.7909,33.534,Port 2
-0.83663,5.8037,33.683,Port 2
-0.83692,5.8073,33.724,Port 2
-0.83639,5.8174,33.842,Port 2
-0.83172,5.814,33.802,Port 2
-0.83996,5.784,33.455,Port 2
-0.84865,5.8126,33.787,Port 2
-0.8383,5.8016,33.659,Port 2
-0.83418,5.7828,33.441,Port 2
-0.85019,5.8045,33.693,Port 2
-0.82556,5.791,33.536,Port 2
-0.8426,5.7805,33.414,Port 2
-0.83585,5.8032,33.677,Port 2
-0.83977,5.8168,33.835,Port 2
-0.84443,5.791,33.536,Port 2
-0.8347,5.7955,33.588,Port 2
-0.8536,5.7956,33.589,Port 2
-0.8244,5.7801,33.41,Port 2
-0.83331,5.7781,33.387,Port 2
-0.83803,5.8114,33.772,Port 2
-0.83821,5.791,33.536,Port 2
-0.83776,5.8167,33.834,Port 2
-0.82084,5.7812,33.423,Port 2
-0.84011,5.8079,33.732,Port 2
-0.84627,5.7961,33.594,Port 2
-0.84027,5.7902,33.527,Port 2
-0.84649,5.8152,33.816,Port 2
-0.83439,5.7944,33.575,Port 2
-0.84668,5.8047,33.694,Port 2
-0.83525,5.8069,33.721,Port 2
-0.82727,5.7849,33.465,Port 2
-0.83983,5.798,33.617,Port 2
-0.82717,5.7905,33.53,Port 2
-0.84747,5.7898,33.522,Port 2
-0.84209,5.7838,33.452,Port 2
-0.82675,5.7898,33.521,Port 2
-0.82606,5.7893,33.516,Port 2
-0.82429,5.7921,33.548,Port 2
-0.83404,5.808,33.733,Port 2
-0.84505,5.8087,33.74,Port 2
-0.83527,5.8138,33.8,Port 2
-0.8383,5.7859,33.476,Port 2
-0.82635,5.7873,33.493,Port 2
-0.83249,5.7843,33.458,Port 2
-0.84518,5.8059,33.709,Port 2
-0.83588,5.797,33.605,Port 2
-0.83525,5.7912,33.538,Port 2
-0.84158,5.7927,33.555,Port 2
-0.83076,5.7774,33.378,Port 2
-0.85061,5.7904,33.528,Port 2
-0.84418,5.8104,33.761,Port 2
-0.84062,5.7889,33.511,Port 2
-0.8407,5.7956,33.589,Port 2
-0.84615,5.7887,33.509,Port 2
-0.83501,5.7737,33.336,Port 2
-0.84468,5.7988,33.627,Port 2
-0.83607,5.7962,33.596,Port 2
-0.84052,5.8076,33.728,Port 2
-0.85483,5.819,33.86,Port 2
-0.84501,5.7904,33.529,Port 2
-0.82084,5.7971,33.606,Port 2
-0.83166,5.8067,33.718,Port 2
-0.84053,5.7975,33.611,Port 2
-0.84353,5.8188,33.859,Port 2
-0.8333,5.8174,33.842,Port 2
-0.84389,5.7899,33.523,Port 2
-0.82678,5.7852,33.468,Port 2
-0.82849,5.7908,33.533,Port 2
-0.83505,5.7912,33.538,Port 2
-0.84423,5.8175,33.843,Port 2
-0.8383,5.7814,33.425,Port 2
-0.83154,5.7907,33.532,Port 2
-0.82216,5.7845,33.46,Port 2
-0.84041,5.7816,33.427,Port 2
-0.84036,5.8056,33.705,Port 2
-0.82985,5.7892,33.514,Port 2
-0.83769,5.7848,33.464,Port 2
-0.83757,5.8166,33.832,Port 2
-0.83855,5.7955,33.588,Port 2
-0.84755,5.8065,33.716,Port 2
-0.83215,5.8198,33.87,Port 2
-0.84359,5.8018,33.661,Port 2
-0.83688,5.7829,33.442,Port 2
-0.83641,5.7905,33.53,Port 2
-0.83679,5.818,33.849,Port 2
-0.82229,5.7875,33.495,Port 2
-0.83978,5.809,33.745,Port 2
-0.83185,5.8022,33.666,Port 2
-0.84203,5.8202,33.875,Port 2
-0.82375,5.7905,33.529,Port 2
-0.84687,5.809,33.744,Port 2
-0.85434,5.8103,33.76,Port 2
-0.8317,5.7916,33.542,Port 2
-0.83714,5.8129,33.79,Port 2
-0.83226,5.8082,33.735,Port 2
-0.82755,5.7916,33.542,Port 2
-0.85424,5.811,33.767,Port 2
-0.84108,5.8222,33.898,Port 2
-0.83273,5.778,33.385,Port 2
-0.82977,5.7958,33.591,Port 2
-0.82232,5.7771,33.375,Port 2
-0.82572,5.807,33.721,Port 2
-0.82869,5.8087,33.742,Port 2
-0.83984,5.7952,33.584,Port 2
-0.8472,5.8073,33.724,Port 2
-0.83653,5.8054,33.703,Port 2
-0.84585,5.8012,33.654,Port 2
-0.83746,5.7926,33.554,Port 2
-0.83038,5.7998,33.638,Port 2
-0.83102,5.7946,33.577,Port 2
-0.83354,5.779,33.396,Port 2
-0.84883,5.82,33.873,Port 2
-0.83271,5.7875,33.495,Port 2
-0.8369,5.7937,33.567,Port 2
-0.83248,5.7976,33.612,Port 2
-0.82646,5.778,33.385,Port 2
-0.82815,5.7899,33.524,Port 2
-0.82374,5.7851,33.468,Port 2
-0.83784,5.7896,33.52,Port 2
-0.8354,5.779,33.397,Port 2
-0.83854,5.7961,33.595,Port 2
-0.8446,5.794,33.571,Port 2
-0.83477,5.7911,33.537,Port 2
-0.83406,5.8061,33.71,Port 2
-0.83252,5.7949,33.581,Port 2
-0.82235,5.7768,33.371,Port 2
-0.82964,5.7939,33.569,Port 2
-0.83398,5.8176,33.845,Port 2
-0.82864,5.8021,33.664,Port 2
-0.84009,5.7964,33.599,Port 2
-0.83277,5.7884,33.506,Port 2
-0.82992,5.7934,33.563,Port 2
-0.83614,5.805,33.698,Port 2
-0.83968,5.8006,33.647,Port 2
-0.84219,5.7945,33.576,Port 2
-0.8319,5.8146,33.81,Port 2
-0.83798,5.8019,33.662,Port 2
-0.82737,5.7917,33.543,Port 2
-0.83565,5.8079,33.732,Port 2
-0.83045,5.7867,33.486,Port 2
-0.84364,5.8123,33.783,Port 2
-0.8373,5.7942,33.572,Port 2
-0.82235,5.8105,33.762,Port 2
-0.82698,5.7875,33.496,Port 2
-0.83771,5.8072,33.724,Port 2
-0.84635,5.8127,33.787,Port 2
-0.82851,5.7831,33.444,Port 2
-0.83569,5.8113,33.771,Port 2
-0.82089,5.7839,33.454,Port 2
-0.82402,5.7893,33.516,Port 2
-0.81871,5.78,33.409,Port 2
-0.83079,5.8025,33.67,Port 2
-0.83542,5.7773,33.377,Port 2
-0.81323,5.7888,33.51,Port 2
-0.83063,5.7956,33.589,Port 2
-0.83794,5.8041,33.687,Port 2
-0.83765,5.8087,33.741,Port 2
-0.83119,5.7885,33.507,Port 2
-0.83002,5.7921,33.548,Port 2
-0.83429,5.8001,33.642,Port 2
-0.83627,5.8141,33.804,Port 2
-0.8417,5.8097,33.753,Port 2
-0.84386,5.8085,33.738,Port 2
-0.83384,5.7945,33.576,Port 2
-0.82985,5.79,33.524,Port 2
-0.8346,5.7832,33.446,Port 2
-0.83208,5.7772,33.376,Port 2
-0.82855,5.8009,33.651,Port 2
-0.82065,5.789,33.512,Port 2
-0.83045,5.7812,33.422,Port 2
-0.8262,5.8024,33.668,Port 2
-0.82431,5.79,33.524,Port 2
-0.83531,5.7898,33.522,Port 2
-0.83646,5.8073,33.725,Port 2
-0.83811,5.7972,33.608,Port 2
-0.83804,5.7782,33.387,Port 2
-0.83383,5.7775,33.38,Port 2
-0.83564,5.7891,33.513,Port 2
-0.82623,5.7896,33.519,Port 2
-0.82487,5.7893,33.516,Port 2
-0.83198,5.7941,33.572,Port 2
-0.84899,5.8162,33.829,Port 2
-0.83393,5.8115,33.773,Port 2
-0.82995,5.8102,33.758,Port 2
-0.82935,5.7799,33.407,Port 2
-0.83175,5.7939,33.57,Port 2
-0.83258,5.7986,33.623,Port 2
-0.83583,5.796,33.593,Port 2
-0.82813,5.7949,33.581,Port 2
-0.83932,5.7873,33.493,Port 2
-0.83428,5.7834,33.448,Port 2
-0.82447,5.7904,33.529,Port 2
-0.82829,5.805,33.698,Port 2
-0.83512,5.821,33.884,Port 2
-0.82848,5.7823,33.435,Port 2
-0.84863,5.8195,33.867,Port 2
-0.82696,5.8061,33.71,Port 2
-0.82288,5.8104,33.76,Port 2
-0.82128,5.7983,33.62,Port 2
-0.83711,5.8105,33.762,Port 2
-0.81863,5.7978,33.615,Port 2
-0.83365,5.7796,33.404,Port 2
-0.83381,5.789,33.513,Port 2
-0.83229,5.8131,33.792,Port 2
-0.83761,5.8133,33.795,Port 2
-0.84075,5.8042,33.689,Port 2
-0.83206,5.7835,33.449,Port 2
-0.84551,5.8061,33.711,Port 2
-0.84674,5.7946,33.578,Port 2
-0.85154,5.8164,33.831,Port 2
-0.85192,5.8111,33.769,Port 2
-0.8387,5.808,33.733,Port 2
-0.83625,5.792,33.548,Port 2
-0.8331,5.7943,33.573,Port 2
-0.83078,5.7822,33.434,Port 2
-0.83313,5.7956,33.59,Port 2
-0.83702,5.7927,33.556,Port 2
-0.83674,5.7902,33.526,Port 2
-0.83118,5.7856,33.473,Port 2
-0.84046,5.7914,33.54,Port 2
-0.84926,5.8121,33.78,Port 2
-0.82713,5.791,33.536,Port 2
-0.84718,5.7877,33.497,Port 2
-0.84005,5.793,33.559,Port 2
-0.83654,5.7812,33.422,Port 2
-0.84392,5.8049,33.697,Port 2
-0.8365,5.8024,33.668,Port 2
-0.85111,5.8081,33.734,Port 2
-0.84584,5.7826,33.439,Port 2
-0.83206,5.8114,33.772,Port 2
-0.83004,5.7848,33.463,Port 2
-0.83471,5.7951,33.583,Port 2
-0.83656,5.8169,33.837,Port 2
-0.82521,5.8165,33.832,Port 2
-0.82498,5.8063,33.713,Port 2
-0.83219,5.7896,33.519,Port 2
-0.83189,5.8057,33.706,Port 2
-0.83626,5.7919,33.546,Port 2
-0.83644,5.7854,33.47,Port 2
-0.83833,5.8017,33.659,Port 2
-0.82127,5.7933,33.563,Port 2
-0.8327,5.7936,33.565,Port 2
-0.83298,5.7935,33.564,Port 2
-0.84149,5.7878,33.499,Port 2
-0.84524,5.7851,33.467,Port 2
-0.85103,5.8185,33.855,Port 2
-0.8471,5.7918,33.544,Port 2
-0.83761,5.7908,33.533,Port 2
-0.83411,5.8046,33.694,Port 2
-0.8321,5.806,33.71,Port 2
-0.83109,5.7964,33.598,Port 2
-0.84599,5.8059,33.708,Port 2
-0.83144,5.7806,33.416,Port 2
-0.84421,5.7911,33.537,Port 2
-0.84887,5.7931,33.56,Port 2
-0.83445,5.8041,33.688,Port 2
-0.82631,5.7905,33.53,Port 2
-0.84261,5.7996,33.635,Port 2
-0.83937,5.8129,33.789,Port 2
-0.84236,5.791,33.535,Port 2
-0.82723,5.7841,33.456,Port 2
-0.82694,5.7912,33.538,Port 2
-0.83986,5.7994,33.633,Port 2
-0.85143,5.8029,33.673,Port 2
-0.83418,5.7922,33.549,Port 2
-0.82637,5.7919,33.547,Port 2
-0.83898,5.8106,33.763,Port 2
-0.84405,5.812,33.779,Port 2
-0.84481,5.8115,33.773,Port 2
-0.83116,5.7813,33.423,Port 2
-0.83759,5.8088,33.742,Port 2
-0.83736,5.8015,33.658,Port 2
-0.83808,5.7928,33.557,Port 2
-0.83331,5.8005,33.646,Port 2
-0.83541,5.8138,33.8,Port 2
-0.84455,5.803,33.675,Port 2
-0.83781,5.7991,33.63,Port 2
-0.83701,5.8215,33.89,Port 2
-0.85285,5.8096,33.751,Port 2
-0.82915,5.788,33.501,Port 2
-0.83606,5.7979,33.615,Port 2
-0.8338,5.8174,33.842,Port 2
-0.83255,5.7949,33.581,Port 2
-0.8316,5.786,33.478,Port 2
-0.82384,5.7942,33.572,Port 2
-0.8208,5.7842,33.457,Port 2
-0.83487,5.8192,33.863,Port 2
-0.8344,5.7806,33.415,Port 2
-0.84692,5.8037,33.683,Port 2
-0.84287,5.7867,33.486,Port 2
-0.83027,5.789,33.512,Port 2
-0.84008,5.79,33.524,Port 2
-0.83057,5.7913,33.539,Port 2
-0.83276,5.8106,33.762,Port 2
-0.84359,5.802,33.664,Port 2
-0.8395,5.8083,33.737,Port 2
-0.82804,5.784,33.454,Port 2
-0.82435,5.7882,33.504,Port 2
-0.83407,5.806,33.71,Port 2
-0.82007,5.78,33.408,Port 2
-0.83769,5.7874,33.494,Port 2
-0.82877,5.7772,33.375,Port 2
-0.83842,5.7945,33.577,Port 2
-0.8368,5.7823,33.435,Port 2
-0.83235,5.7981,33.618,Port 2
-0.84327,5.8001,33.641,Port 2
-0.8239,5.7775,33.38,Port 2
-0.85325,5.8152,33.817,Port 2
-0.84692,5.8118,33.777,Port 2
-0.84108,5.7877,33.498,Port 2
-0.82353,5.7776,33.38,Port 2
-0.82428,5.7922,33.55,Port 2
-0.8496,5.8143,33.806,Port 2
-0.83234,5.8102,33.758,Port 2
-0.83213,5.7931,33.56,Port 2
-0.8274,5.7874,33.494,Port 2
-0.82947,5.7954,33.587,Port 2
-0.83376,5.7844,33.459,Port 2
-0.82579,5.8044,33.691,Port 2
-0.83877,5.7957,33.591,Port 2
-0.83391,5.7852,33.469,Port 2
-0.81112,5.7876,33.497,Port 2
-0.82589,5.7963,33.597,Port 2
-0.84507,5.7975,33.611,Port 2
-0.82761,5.7861,33.479,Port 2
-0.83808,5.7884,33.505,Port 2
-0.83274,5.7882,33.504,Port 2
-0.82675,5.7968,33.603,Port 2
-0.83775,5.8057,33.706,Port 2
-0.83016,5.7963,33.597,Port 2
-0.84404,5.7913,33.54,Port 2
-0.82701,5.7817,33.428,Port 2
-0.83756,5.782,33.431,Port 2
-0.84036,5.7965,33.599,Port 2
-0.83263,5.8035,33.681,Port 2
-0.83561,5.8147,33.811,Port 2
-0.84131,5.8141,33.804,Port 2
-0.83251,5.7865,33.483,Port 2
-0.84542,5.7939,33.57,Port 2
-0.82142,5.7875,33.495,Port 2
-0.82993,5.8008,33.649,Port 2
-0.82662,5.7859,33.477,Port 2
-0.83935,5.7853,33.47,Port 2
-0.83055,5.8037,33.683,Port 2
-0.83473,5.7931,33.56,Port 2
-0.8462,5.7983,33.62,Port 2
-0.84989,5.8111,33.769,Port 2
-0.83662,5.7928,33.556,Port 2
-0.83458,5.7876,33.496,Port 2
-0.83586,5.8208,33.881,Port 2
-0.83485,5.7896,33.52,Port 2
-0.82909,5.7887,33.509,Port 2
-0.84409,5.7887,33.509,Port 2
-0.83994,5.7965,33.599,Port 2
-0.84685,5.7924,33.552,Port 2
-0.83051,5.7961,33.595,Port 2
-0.83655,5.7938,33.569,Port 2
-0.84435,5.7922,33.549,Port 2
-0.83551,5.7825,33.437,Port 2
-0.83317,5.7883,33.505,Port 2
-0.83823,5.7885,33.506,Port 2
-0.84549,5.8145,33.808,Port 2
-0.84326,5.7786,33.392,Port 2
-0.84322,5.7938,33.568,Port 2
-0.83791,5.8197,33.869,Port 2
-0.82333,5.7848,33.464,Port 2
-0.84169,5.8103,33.76,Port 2
-0.83337,5.78,33.408,Port 2
-0.83089,5.7855,33.472,Port 2
-0.83113,5.7949,33.581,Port 2
-0.83918,5.8153,33.818,Port 2
-0.83782,5.7902,33.526,Port 2
-0.83459,5.7907,33.533,Port 2
-0.83927,5.8027,33.671,Port 2
-0.82923,5.8068,33.719,Port 2
-0.83968,5.8197,33.869,Port 2
-0.83665,5.7821,33.432,Port 2
-0.83597,5.7949,33.58,Port 2
-0.84734,5.8034,33.68,Port 2